Question,Choice1,Choice2,Choice3,Choice4,Topic,Level
ตัวแปรในภาษา Python สามารถเก็บค่าได้หลายประเภท เช่น ,"('String', 1)","('Integer', 0.75)","('Boolean', 0.5)","('List', 0.25)",VariablesandDataTypes,['Easy']
การใช้งานตัวแปรในภาษา Python ต้องเริ่มด้วยคำว่า?,"('var', 0.25)","('let', 0.5)","('int', 0.75)","('None', 1)",VariablesandDataTypes,['Easy']
การกำหนดค่าให้กับตัวแปรในภาษา Python ทำอย่างไร?,"('=', 1)","('==', 0.75)","('!=', 0.5)","('>=', 0.25)",VariablesandDataTypes,['Easy']
การแสดงผลลัพธ์ของตัวแปรในภาษา Python ใช้ฟังก์ชัน?,"('print()', 1)","('display()', 0.75)","('show()', 0.5)","('output()', 0.25)",VariablesandDataTypes,['Easy']
ตัวอย่างของการสร้างตัวแปรในภาษา Python คือ?,"('x = 5', 1)","(""y = 'Hello'"", 0.75)","('z = True', 0.5)","('w = 3.14', 0.25)",VariablesandDataTypes,['Medium']
การเปลี่ยนชนิดข้อมูลของตัวแปรในภาษา Python สามารถทำได้หรือไม่?,"('ไม่สามารถเปลี่ยนชนิดข้อมูลได้', 0)","('สามารถเปลี่ยนชนิดข้อมูลได้', 1)","('ขึ้นอยู่กับชนิดข้อมูล', 0.5)","('ต้องใช้ฟังก์ชันพิเศษ', 0.25)",VariablesandDataTypes,['Medium']
ตัวอย่างของการแปลงชนิดข้อมูลในภาษา Python คือ?,"('str(x)', 1)","('int(y)', 0.75)","('float(z)', 0.5)","('bool(w)', 0.25)",VariablesandDataTypes,['Medium']
การกำหนดค่าเริ่มต้นให้กับตัวแปรในภาษา Python สามารถทำได้หรือไม่?,"('ไม่สามารถกำหนดค่าเริ่มต้นได้', 0)","('สามารถกำหนดค่าเริ่มต้นได้', 1)","('ขึ้นอยู่กับชนิดข้อมูล', 0.5)","('ต้องใช้ฟังก์ชันพิเศษ', 0.25)",VariablesandDataTypes,['Medium']
การตรวจสอบชนิดข้อมูลของตัวแปรในภาษา Python สามารถทำได้โดยใช้ฟังก์ชัน?,"('type()', 1)","('isinstance()', 0.75)","('classof()', 0.5)","('datatype()', 0.25)",VariablesandDataTypes,['Hard']
การเปลี่ยนแปลงค่าของตัวแปรในภาษา Python สามารถทำได้โดยใช้?,"('Assignment', 1)","('Function', 0.75)","('Method', 0.5)","('Operator', 0.25)",VariablesandDataTypes,['Hard']
การใช้ if-else ในภาษา Python มีวัตถุประสงค์เพื่ออะไร?,"('ตรวจสอบเงื่อนไขที่กำหนด', 0.25)","('ทำซ้ำคำสั่งหลายครั้ง', 0)","('เลือกทำคำสั่งที่เหมาะสมตามเงื่อนไข', 1)","('รับข้อมูลจากผู้ใช้', 0)",ControlFlow,Easy
"ในภาษา Python, การใช้ for loop มีความหมายว่าอะไร?","('การวนซ้ำคำสั่ง', 0.5)","('การทำงานกับลิสต์หรือเซ็ต', 1)","('การทำงานกับค่าที่ไม่แน่นอน', 0)","('การทำงานกับฟังก์ชัน', 0)",ControlFlow,Easy
"ในภาษา Python, คำสั่ง break ใช้เพื่ออะไร?","('ออกจาก loop ทันที', 1)","('ไปที่คำสั่งต่อไป', 0)","('วนซ้ำคำสั่ง', 0)","('หยุดการทำงานของโปรแกรม', 0)",ControlFlow,Medium
"ในภาษา Python, การใช้ else ใน statement if-else ทำหน้าที่อะไร?","('ทำคำสั่งเมื่อเงื่อนไขเป็นจริง', 0)","('ทำคำสั่งเมื่อเงื่อนไขเป็นเท็จ', 1)","('ทำคำสั่งเมื่อเงื่อนไขไม่แน่นอน', 0)","('ไม่มีผลต่อการทำงานของโปรแกรม', 0)",ControlFlow,Medium
"ในภาษา Python, keyword 'pass' ใช้เพื่ออะไร?","('ทำคำสั่งที่กำหนด', 0)","('ไม่ทำอะไรและข้ามไปที่คำสั่งต่อไป', 1)","('วนซ้ำคำสั่ง', 0)","('หยุดการทำงานของโปรแกรม', 0)",ControlFlow,Easy
"ในภาษา Python, การใช้ while loop มีความหมายว่าอะไร?","('การวนซ้ำคำสั่งจนกว่าเงื่อนไขจะเป็นเท็จ', 1)","('การทำงานกับลิสต์หรือเซ็ต', 0)","('การทำงานกับค่าที่ไม่แน่นอน', 0)","('การทำงานกับฟังก์ชัน', 0)",ControlFlow,Medium
"ในภาษา Python, keyword 'continue' ใช้เพื่ออะไร?","('ออกจาก loop ทันที', 0)","('ไปที่คำสั่งต่อไป', 0)","('วนซ้ำคำสั่งใน loop', 1)","('หยุดการทำงานของโปรแกรม', 0)",ControlFlow,Medium
"ในภาษา Python, การใช้ elif มีความหมายว่าอะไร?","('ตรวจสอบเงื่อนไขเพิ่มเติมหลังจาก if', 1)","('ตรวจสอบเงื่อนไขหลังจาก else', 0)","('วนซ้ำคำสั่ง', 0)","('หยุดการทำงานของโปรแกรม', 0)",ControlFlow,Medium
"ในภาษา Python, keyword'return' ใช้เพื่ออะไร?","('ส่งคืนค่าจากฟังก์ชัน', 1)","('ทำคำสั่งที่กำหนด', 0)","('วนซ้ำคำสั่ง', 0)","('หยุดการทำงานของโปรแกรม', 0)",ControlFlow,Hard
"ในภาษา Python, การใช้ try-except-finally มีความหมายว่าอะไร?","('จัดการกับข้อผิดพลาดที่เกิดขึ้น', 1)","('ทำคำสั่งที่กำหนด', 0)","('วนซ้ำคำสั่ง', 0)","('หยุดการทำงานของโปรแกรม', 0)",ControlFlow,Hard
"ในภาษา Python, วงวน (loop) ที่ใช้สำหรับการวนซ้ำคำสั่งหลายครั้ง คือ?","('for loop', 1)","('while loop', 0.75)","('if statement', 0)","('function', 0)",Loops,Easy
การใช้คำสั่ง break ใน Python จะทำให้วงวน (loop) ทำอะไร?,"('ออกจากวงวน', 1)","('ข้ามไปยังคำสั่งต่อไป', 0)","('วนซ้ำคำสั่งที่เหลือ', 0)","('หยุดการทำงานของโปรแกรม', 0)",Loops,Medium
วงวน (loop) ที่ใช้สำหรับการวนซ้ำคำสั่งโดยไม่จำกัดจำนวนครั้ง คือ?,"('for loop', 0)","('while loop', 1)","('if statement', 0)","('function', 0)",Loops,Medium
การใช้คำสั่ง continue ใน Python จะทำให้วงวน (loop) ทำอะไร?,"('ข้ามไปยังคำสั่งต่อไป', 0.75)","('ออกจากวงวน', 0)","('วนซ้ำคำสั่งที่เหลือ', 0.25)","('หยุดการทำงานของโปรแกรม', 0)",Loops,Medium
"ในภาษา Python, วงวน (loop) ที่ใช้สำหรับการวนซ้ำคำสั่งที่มีจำนวนครั้งที่แน่นอน คือ?","('for loop', 1)","('while loop', 0)","('if statement', 0)","('function', 0)",Loops,Easy
การวนซ้ำคำสั่งใน Python สามารถทำได้โดยการใช้วงวน (loop) แบบไหนบ้าง?,"('for loop และ while loop', 1)","('for loop เท่านั้น', 0)","('while loop เท่านั้น', 0)","('if statement และ function', 0)",Loops,Hard
"ในภาษา Python, การใช้วงวน (loop) แบบ for จะต้องมีการกำหนดจำนวนครั้งที่แน่นอนหรือไม่?","('ไม่จำเป็นต้องกำหนด', 1)","('จำเป็นต้องกำหนด', 0)","('ขึ้นอยู่กับสถานการณ์', 0.5)","('ไม่สามารถตอบได้', 0)",Loops,Easy
การใช้วงวน (loop) แบบ while ใน Python จำเป็นต้องมีการกำหนดเงื่อนไขในการวนซ้ำหรือไม่?,"('จำเป็นต้องกำหนด', 1)","('ไม่จำเป็นต้องกำหนด', 0)","('ขึ้นอยู่กับสถานการณ์', 0.5)","('ไม่สามารถตอบได้', 0)",Loops,Medium
"ในภาษา Python, การใช้วงวน (loop) แบบ for สามารถวนซ้ำคำสั่งที่มีจำนวนครั้งที่ไม่แน่นอนได้หรือไม่?","('ไม่สามารถทำได้', 0.75)","('สามารถทำได้', 0.25)","('ขึ้นอยู่กับสถานการณ์', 0)","('ไม่สามารถตอบได้', 0)",Loops,Medium
การใช้วงวน (loop) แบบ while ใน Python สามารถวนซ้ำคำสั่งที่มีจำนวนครั้งที่แน่นอนได้หรือไม่?,"('สามารถทำได้', 1)","('ไม่สามารถทำได้', 0)","('ขึ้นอยู่กับสถานการณ์', 0.5)","('ไม่สามารถตอบได้', 0)",Loops,Medium
ฟังก์ชันในภาษา Python สามารถรับค่าอะไรได้บ้าง?,"('ค่าจำนวนเต็ม', 0.25)","('ค่าเลขทศนิยม', 0.25)","('ค่าข้อความ', 0.25)","('ทั้งหมดข้างต้น', 1)",Functions,['Easy']
คำสั่งไหนใช้ในการเรียกใช้งานฟังก์ชัน?,"('print()', 0)","('call()', 0)","('function()', 0)","('ฟังก์ชันชื่อ()', 1)",Functions,['Easy']
ฟังก์ชันใน Python สามารถคืนค่าได้กี่ค่า?,"('1 ค่า', 0.5)","('ไม่จำกัด', 0.5)","('2 ค่า', 0)","('3 ค่า', 0)",Functions,['Medium']
การสร้างฟังก์ชันใน Python ใช้คำสั่งอะไร?,"('def', 1)","('function', 0)","('create', 0)","('make', 0)",Functions,['Easy']
ฟังก์ชันใน Python สามารถเรียกใช้งานตัวเองได้หรือไม่?,"('ไม่สามารถ', 0)","('สามารถ', 1)","('ขึ้นอยู่กับเงื่อนไข', 0.5)","('ไม่แน่ใจ', 0)",Functions,['Medium']
ฟังก์ชันใน Python สามารถรับค่าอะไรได้บ้าง?,"('ค่าจำนวนเต็ม', 0.25)","('ค่าเลขทศนิยม', 0.25)","('ค่าข้อความ', 0.25)","('ทั้งหมดข้างต้น', 1)",Functions,['Easy']
