Question,Choice1,Choice2,Choice3,Choice4,Topic,Level
ในภาษา Python คุณสามารถเก็บค่าใดๆ ในตัวแปรได้,"('ตัวเลข', 0.75)","('ข้อความ', 0.25)","('ทั้งข้อความและตัวเลข', 0)","('ไม่สามารถเก็บค่าใดๆ ได้', 0)",Variables and Data Types,Easy
ตัวแปรในภาษา Python สามารถเปลี่ยนชนิดข้อมูลได้หรือไม่,"('สามารถเปลี่ยนชนิดข้อมูลได้', 0.75)","('ไม่สามารถเปลี่ยนชนิดข้อมูลได้', 0.25)","('ขึ้นอยู่กับชนิดข้อมูล', 0)","('ไม่แน่ใจ', 0)",Variables and Data Types,Medium
ชนิดข้อมูล int ในภาษา Python ใช้เก็บค่าใด,"('ตัวเลขจำนวนเต็ม', 0.75)","('ตัวเลขทศนิยม', 0.25)","('ข้อความ', 0)","('ค่าที่เป็นจริง/เท็จ', 0)",Variables and Data Types,Easy
การสร้างตัวแปรในภาษา Python สามารถทำได้โดยการใช้สัญลักษณ์ใด,"('=', 0.75)","('==', 0.25)","('!=', 0)","('<>', 0)",Variables and Data Types,Easy
ชนิดข้อมูล float ในภาษา Python ใช้เก็บค่าใด,"('ตัวเลขทศนิยม', 0.75)","('ตัวเลขจำนวนเต็ม', 0.25)","('ข้อความ', 0)","('ค่าที่เป็นจริง/เท็จ', 0)",Variables and Data Types,Easy
ในภาษา Python คุณสามารถใช้ตัวแปรที่มีชื่อเดียวกันได้หรือไม่,"('สามารถใช้ตัวแปรที่มีชื่อเดียวกันได้', 0.25)","('ไม่สามารถใช้ตัวแปรที่มีชื่อเดียวกันได้', 0.75)","('ขึ้นอยู่กับชนิดข้อมูล', 0)","('ไม่แน่ใจ', 0)",Variables and Data Types,Medium
ชนิดข้อมูล str ในภาษา Python ใช้เก็บค่าใด,"('ข้อความ', 0.75)","('ตัวเลขจำนวนเต็ม', 0.25)","('ตัวเลขทศนิยม', 0)","('ค่าที่เป็นจริง/เท็จ', 0)",Variables and Data Types,Easy
ในภาษา Python การกำหนดค่าเริ่มต้นให้กับตัวแปรสามารถทำได้โดยการใช้สัญลักษณ์ใด,"('=', 0.75)","('==', 0.25)","('!=', 0)","('<>', 0)",Variables and Data Types,Easy
ชนิดข้อมูล bool ในภาษา Python ใช้เก็บค่าใด,"('ค่าที่เป็นจริง/เท็จ', 0.75)","('ตัวเลขจำนวนเต็ม', 0.25)","('ตัวเลขทศนิยม', 0)","('ข้อความ', 0)",Variables and Data Types,Easy
ในภาษา Python การเปลี่ยนชนิดข้อมูลของตัวแปรสามารถทำได้โดยการใช้ฟังก์ชันใด,"('int()', 0.5)","('float()', 0.5)","('str()', 0)","('bool()', 0)",Variables and Data Types,Medium
