Question,Choice1,Choice2,Choice3,Choice4,Topic,Level
ต้องการใช้ฟังก์ชันใดในการสร้าง decorator ในภาษา Python?,"('@classmethod', 0.25)","('@staticmethod', 0.25)","('@property', 0.25)","('@decorator', 1)",Decorators,Easy
Context Manager คืออะไร?,"('คลาสที่ใช้สำหรับการจัดการทรัพยากร', 0.5)","('ฟังก์ชันที่ใช้สำหรับการจัดการทรัพยากร', 0.25)","('วิธีการเขียนโค้ดที่ดี', 0)","('ไม่มีความหมาย', 0)",ContextManagers,Medium
การสร้าง Context Manager สามารถทำได้โดยการใช้คำสั่งใด?,"('with statement', 1)","('try-finally block', 0.25)","('class with __enter__ and __exit__ methods', 0.5)","('generator function', 0)",ContextManagers,Medium
ฟังก์ชันใดที่ใช้ในการสร้าง Decorator?,"('functools.wraps()', 0.25)","(' functools.update_wrapper()', 0)","(' functools.register()', 0)","('None of the above', 1)",Decorators,Easy
การใช้งาน Context Manager มีข้อดีอย่างไร?,"('สามารถจัดการทรัพยากรได้อย่างมีประสิทธิภาพ', 0.5)","('สามารถลดความซับซ้อนของโค้ด', 0.25)","('สามารถเพิ่มความเร็วในการทำงาน', 0)","('ทั้งหมดข้างต้น', 1)",ContextManagers,Medium
Decorator ที่ถูกสร้างขึ้นจากฟังก์ชันใด?,"('function', 0.5)","('class', 0.25)","('generator', 0)","('None of the above', 1)",Decorators,Medium
Context Manager ทำงานอย่างไร?,"('จัดการทรัพยากรเมื่อมีการเรียกใช้งาน', 0.25)","('จัดการทรัพยากรเมื่อมีการปิดโปรแกรม', 0.25)","('จัดการทรัพยากรเมื่อมีการเปิดและปิด', 0.5)","('ไม่มีการจัดการทรัพยากร', 0)",ContextManagers,Hard
การใช้งาน Decorator มีข้อดีอย่างไร?,"('สามารถเพิ่มฟังก์ชันให้กับฟังก์ชันอื่น', 0.5)","('สามารถลดความซับซ้อนของโค้ด', 0.25)","('สามารถเพิ่มความเร็วในการทำงาน', 0)","('ทั้งหมดข้างต้น', 1)",Decorators,Medium
Context Manager ใช้ในการจัดการทรัพยากรประเภทใด?,"('ไฟล์', 0.25)","('ฐานข้อมูล', 0.25)","('Network connections', 0.25)","('ทุกข้อ', 1)",ContextManagers,Easy
Decorator ใช้ในการทำอะไร?,"('เพิ่มฟังก์ชันให้กับฟังก์ชันอื่น', 0.5)","('ลดความซับซ้อนของโค้ด', 0.25)","('เพิ่มความเร็วในการทำงาน', 0)","('ทั้งหมดข้างต้น', 1)",Decorators,Easy
การสร้าง list ในภาษา Python สามารถทำได้โดยการใช้สัญลักษณ์อะไร?,"('()', 0.25)","('[]', 1)","('{}', 0.5)","('.', 0)",List,Easy
วิธีการเข้าถึง element ที่อยู่ใน list ของภาษา Python คือ?,"('โดยใช้ index', 1)","('โดยใช้ key', 0.25)","('โดยใช้ value', 0.5)","('ไม่สามารถเข้าถึงได้', 0)",List,Easy
การเพิ่ม element เข้าไปใน list ของภาษา Python สามารถทำได้โดยใช้ method อะไร?,"('append', 1)","('insert', 0.75)","('extend', 0.5)","('remove', 0)",List,Medium
การลบ element ออกจาก list ของภาษา Python สามารถทำได้โดยใช้ method อะไร?,"('remove', 1)","('pop', 0.75)","('del', 0.5)","('clear', 0)",List,Medium
การสร้าง dictionary ในภาษา Python สามารถทำได้โดยการใช้สัญลักษณ์อะไร?,"('()', 0.25)","('[]', 0.5)","('{}', 1)","('.', 0)",Dictionary,Easy
วิธีการเข้าถึง value ที่อยู่ใน dictionary ของภาษา Python คือ?,"('โดยใช้ key', 1)","('โดยใช้ index', 0.25)","('โดยใช้ value', 0.5)","('ไม่สามารถเข้าถึงได้', 0)",Dictionary,Easy
การเพิ่ม key-value pair เข้าไปใน dictionary ของภาษา Python สามารถทำได้โดยใช้วิธีใด?,"('โดยใช้ assignment', 1)","('โดยใช้ update', 0.75)","('โดยใช้ setdefault', 0.5)","('ไม่สามารถเพิ่มได้', 0)",Dictionary,Medium
การลบ key-value pair ออกจาก dictionary ของภาษา Python สามารถทำได้โดยใช้ method อะไร?,"('del', 1)","('pop', 0.75)","('clear', 0.5)","('remove', 0)",Dictionary,Medium
การสร้าง set ในภาษา Python สามารถทำได้โดยการใช้สัญลักษณ์อะไร?,"('()', 0.25)","('[]', 0.5)","('{} without key', 1)","('.', 0)",Set,Easy
การรวม set ในภาษา Python สามารถทำได้โดยใช้ operator อะไร?,"('union', 1)","('intersection', 0.75)","('difference', 0.5)","('symmetric_difference', 0)",Set,Medium
การทำงานของอิเทอเรเตอร์ (iterator) ในภาษา Python คืออะไร?,"('วนซ้ำๆผ่านทุก element ใน sequence', 1)","('วนซ้ำๆผ่านบาง element ใน sequence', 0.25)","('วนผ่าน element ใน sequence เพียงครั้งเดียว', 0.5)","('ไม่สามารถวนผ่าน element ใน sequence ได้', 0)",IteratorsandGenerators,Easy
ฟังก์ชันใดในภาษา Python ที่สามารถสร้าง generator ได้?,"('def', 0.75)","('generator()', 0)","('iter()', 0.25)","('yield()', 1)",IteratorsandGenerators,Medium
คำสั่งใดในภาษา Python ที่ใช้สำหรับการสร้าง generator?,"('yield', 1)","('return', 0.25)","('next()', 0.5)","('iter()', 0)",IteratorsandGenerators,Easy
การทำงานของเจเนอเรเตอร์ (generator) ในภาษา Python คืออะไร?,"('สร้าง sequence ของค่าที่ต้องการ', 1)","('วนซ้ำๆผ่านทุก element ใน sequence', 0.25)","('วนผ่าน element ใน sequence เพียงครั้งเดียว', 0.5)","('ไม่สามารถสร้าง sequence ของค่าที่ต้องการได้', 0)",IteratorsandGenerators,Medium
เมื่อเรียกใช้งานเจเนอเรเตอร์ (generator) ในภาษา Python จะเกิดอะไรขึ้น?,"('จะวนซ้ำๆผ่านทุก element ใน sequence', 0.25)","('จะวนผ่าน element ใน sequence เพียงครั้งเดียว', 1)","('จะสร้าง sequence ของค่าที่ต้องการ', 0.5)","('จะไม่เกิดอะไรขึ้น', 0)",IteratorsandGenerators,Medium
ความแตกต่างระหว่าง list comprehension และ generator expression ในภาษา Python คืออะไร?,"('list comprehension สร้าง list ขึ้นมาทันที ส่วน generator expression สร้าง generator', 1)","('list comprehension สร้าง generator ขึ้นมาทันที ส่วน generator expression สร้าง list', 0)","('ทั้งสองอย่างสร้าง list ขึ้นมาทันที', 0.25)","('ทั้งสองอย่างสร้าง generator ขึ้นมาทันที', 0.5)",IteratorsandGenerators,Hard
การทำงานของฟังก์ชัน next() ในภาษา Python คืออะไร?,"('เรียกใช้งานเจเนอเรเตอร์ (generator) ให้ผลิตค่าถัดไป', 1)","('เรียกใช้งาน list ให้ผลิตค่าถัดไป', 0.25)","('เรียกใช้งาน tuple ให้ผลิตค่าถัดไป', 0.5)","('ไม่มีการทำงานใดๆ', 0)",IteratorsandGenerators,Medium
